ID;Nombre;Columna1;the_geom;Interés;Tipo;Subgrupo_patrimonial;Latitud;Longitud;FechaLegal;FechaCreación;Acto administrativo;Registro;Estado del registro;Nombre carpeta;;Imagen Artística
IM20;Centro Histórico de Ocaña;-73.353863, 8.235715;8.235715, -73.353863;Municipal;Patrimonio Urbano;Inmueble;8.235.715;-73.353.863;2007;1570;Acuerdo 06 de 2007;;;;;
IM21;Plaza 29 de mayo;-73.353878, 8.235454;8.235454, -73.353878;Sin Definir;Patrimonio Urbano;Inmueble;8.235.454;-73.353.878;;1570;;;;IM21_Plaza_29_Mayo;;
IM22;Iglesia fátima;-73.359101, 8.258232;8.258232, -73.359101;Sin Definir;Arquitectura Religiosa;Inmueble;8.258.232;-73.359.101;;1961;;;;;;
IM23;Capilla del cementerio;-73.357469, 8.236753;8.236753, -73.357469;Sin Definir;Arquitectura Religiosa;Inmueble;8.236.753;-73.357.469;;1924;;;;;;
IM24;Villa Barbosa;-73.335184, 8.223391;8.223391, -73.335184;Sin Definir;Arquitectura Habitacional;Inmueble;8.223.391;-73.335.184;;1828;Inmuebles localizados en áreas consolidadas;;;;;
IM25;Botica de los Pobres;-73.354952, 8.231257;8.231257, -73.354952;Sin Definir;Arquitectura Habitacional;Inmueble;8.231.257;-73.354.952;;1800;;;;;;
IM26;Casa donde se hospedó Pablo Morillo;-73.353544, 8.234742;8.234742, -73.353544;Municipal;Arquitectura Habitacional;Inmueble;8.234.742;-73.353.544;;1816;Inmuebles localizados en áreas consolidadas;;;;;
IM27;Tempo del Dulce Nombre;-73.354729, 8.236205;8.236205, -73.354729;Municipal;Arquitectura Religiosa;Inmueble;8.236.205;-73.354.729;;1826;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002, sancionado el 31 de mayo 2007;;;IM27_Templo_Dulce_Nombre;;
M1;Columna de la Libertad de los Esclavos;-73.353942, 8.235523;8.235523, -73.353942;Nacional;Columnas;Mueble;8.235.523;-73.353.942;2002;1851;Resolución 620 del 11 de abril de 2002, del ministerio de cultura;;;M1_Columna_Libertad_Esclavos;;
M2;Monumento a Cristo Rey;-73.349249, 8.238250;8.238250, -73.349249;Departamental;Esculturas conmemorativas y artísticas;Mueble;8.238.250;-73.349.249;2003;1935;Decreto 1144 de 2003;;;;;
M3;Monumento José Eusebio Caro;-73.354873, 8.232525;8.232525, -73.354873;Departamental;Esculturas conmemorativas y artísticas;Mueble;8.232.525;-73.354.873;2003;1956;Decreto 1144 de 2003;;;M3_Monumento_Jose_Eusebio_Caro;;
M4;Monumento a Los Cafeteros;-73.356304, 8.244596;8.244596, -73.356304;Municipal;Esculturas conmemorativas y artísticas;Mueble;8.244.596;-73.356.304;2007;2007;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002;;;;;
M5;Monumento ecuestre Antón García de Bonilla;-73.353291, 8.238440;8.238440, -73.353291;Municipal;Esculturas conmemorativas y artísticas;Mueble;8.238.440;-73.353.291;2007;2005;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002;Si;;M6_Estatua_Anton_Garcia;;
M6;Busto de Jose Eusebio Caro;-73.354206, 8.234993;8.234993, -73.354206;Nacional;Bustos;Mueble;8.234.993;-73.354.206;2006;1919;Resolución Número 0395 de 22 de marzo 2006;;;;;
M7;Monumento a la Santa Cruz;-73.359967, 8.231245;8.231245, -73.359967;Departamental;Esculturas conmemorativas y artísticas;Mueble;8.231.245;-73.359.967;2003;1944;Decreto 1144 de 2003;;;;;
M8;Monumento a la Virgen del Carmen;-73.356182, 8.251629;8.251629, -73.356182;Municipal;Esculturas conmemorativas y artísticas;Mueble;8.251.629;-73.356.182;2007;1949;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002;;;;;
M9;Busto de Simón Bolívar;-73.359150, 8.257976;8.257976, -73.359150;Municipal;Bustos;Mueble;8.257.976;-73.359.150;;1956;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002;;;;;
M10;Busto de Santander;-73.353874, 8.235470;8.235470, -73.353874;Municipal;Bustos;Mueble;8.235.470;-73.353.874;2007;1940;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002;;;;;
M11;Estatua de Francisco Fernández de Contreras;-73.357150, 8.249587;8.249587, -73.357150;Sin Definir;Esculturas conmemorativas y artísticas;Mueble;8.249.587;-73.357.150;;2005;;;;;;
M12;Busto de Margario Quintero Jácome;-73.354200, 8.234693;8.234693, -73.354200;Sin Definir;Bustos;Mueble;8.234.693;-73.354.200;;1921;;;;;;
M13;Estatua de Leonelda Hernández;-73.349983, 8.238666;8.238666, -73.349983;Sin Definir;Esculturas conmemorativas y artísticas;Mueble;8.238.666;-73.349.983;;1993;;;;;;
M14;Monumento al Catatumbo;-73.341723, 8.238099;8.238099, -73.341723;Sin Definir;Esculturas conmemorativas y artísticas;Mueble;8.238.099;-73.341.723;;2017;;;;;;
M15;Monumento a la vida;-73.321271, 8.235165;8.235165, -73.321271;Sin Definir;Esculturas conmemorativas y artísticas;Mueble;8.235.165;-73.321.271;;2005;;;;;;
M16;Busto Argelino Durán Quintero;-73.346346, 8.229681;8.229681, -73.346346;Sin Definir;Bustos;Mueble;8.229.681;-73.346.346;;2010;;;;;;
M17;Obelisco;-73.353823, 8.242156;8.242156, -73.353823;Sin Definir;Esculturas conmemorativas y artísticas;Mueble;8.242.156;-73.353.823;;2016;;;;;;
M18;Ovelisco;;;Sin Definir;Columnas;Mueble;;;;2008;;;;;;
N1;Reserva ecológica Ave Hormiguero;-73.380341, 8.202360;8.202360, -73.380341;Municipal;Natural;Natural;8.202.360;-73.380.341;2006;2006;;;;;;
